,song_id,song_name,img,duration_ms,song_explicit,url,popularity,date_time_played,album_id,artist_id,scrape1,scraper2
10,0ESJlaM8CE1jRWaNtwSNj8,beibs in the trap,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce,213863,True,https://open.spotify.com/track/0ESJlaM8CE1jRWaNtwSNj8,72,2022-02-22 17:57:44.916000+00:00,42WVQWuf1teDysXiOupIZt,Travis Scott,2016,1991- 04- 30
11,6vnfObZ4Ys70SBAtti1xZ9,COFFEE BEAN,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3,209115,True,https://open.spotify.com/track/6vnfObZ4Ys70SBAtti1xZ9,72,2022-02-22 17:54:09.232000+00:00,41GuZcammIkupMPKH2OJ6I,Travis Scott,2020- 11- 20,1991- 04- 30
12,7wBJfHzpfI3032CSD7CE2m,STARGAZING,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3,270714,True,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m,78,2022-02-22 17:49:06.028000+00:00,41GuZcammIkupMPKH2OJ6I,Travis Scott,2017- 12- 25,1991- 04- 30
13,0boS4e6uXwp3zAvz1mLxZS,Run Boy Run,https://i.scdn.co/image/ab67616d0000b273216fa486e2c3e899cacfe6bf,213266,False,https://open.spotify.com/track/0boS4e6uXwp3zAvz1mLxZS,73,2022-02-22 17:06:45.223000+00:00,7oRzNo0PkoRJlvI9Eocyf2,Woodkid,2012- 05- 21,1983- 03- 16
14,5g1vtHqi9uV7xtYeCcFOBx,Jesus Walks,https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78,193733,True,https://open.spotify.com/track/5g1vtHqi9uV7xtYeCcFOBx,73,2022-02-22 17:03:05.340000+00:00,4Uv86qWpGTxf7fU7lG5X6F,Kanye West,2004,1977- 06- 08
15,30qkA09qh5LY54NUcrdch9,Bombay Leanin',https://i.scdn.co/image/ab67616d0000b2736f60f8a45569e9e87cc39310,145915,False,https://open.spotify.com/track/30qkA09qh5LY54NUcrdch9,55,2022-02-22 16:56:43.431000+00:00,1ayVPuwSD0pVAsDRneHcqB,Brenk Sinatra,1986,0
16,03lqA3UdcJdxAWEwQ5KlBo,Virginia Highway,https://i.scdn.co/image/ab67616d0000b273ba5618f31cd6081f8b6cb694,144339,False,https://open.spotify.com/track/03lqA3UdcJdxAWEwQ5KlBo,43,2022-02-22 16:54:17.070000+00:00,3uWpYHFY0UmEZQMorzlohY,Tigerblood Jewel,2018- 05- 25,0
17,30qkA09qh5LY54NUcrdch9,Bombay Leanin',https://i.scdn.co/image/ab67616d0000b2736f60f8a45569e9e87cc39310,145915,False,https://open.spotify.com/track/30qkA09qh5LY54NUcrdch9,55,2022-02-22 15:47:50.845000+00:00,1ayVPuwSD0pVAsDRneHcqB,Brenk Sinatra,1986,0
18,03lqA3UdcJdxAWEwQ5KlBo,Virginia Highway,https://i.scdn.co/image/ab67616d0000b273ba5618f31cd6081f8b6cb694,144339,False,https://open.spotify.com/track/03lqA3UdcJdxAWEwQ5KlBo,43,2022-02-22 15:45:25.143000+00:00,3uWpYHFY0UmEZQMorzlohY,Tigerblood Jewel,2018- 05- 25,0
19,3jr44coYDIRJ9aFG3QMcww,Another Kind Of Blues,https://i.scdn.co/image/ab67616d0000b2735daef5cb2a226cc06355f812,277586,False,https://open.spotify.com/track/3jr44coYDIRJ9aFG3QMcww,34,2022-02-22 15:33:45.787000+00:00,3jMDKHg32dmMYGaDtlWu4C,Fluke,1988,0
20,5KyUNaYffTjuLIEo2TG2JG,N,https://i.scdn.co/image/ab67616d0000b2731e2ffaa0e1e77601febf50da,184031,True,https://open.spotify.com/track/5KyUNaYffTjuLIEo2TG2JG,43,2022-02-22 15:29:07.909000+00:00,58TQnNXUc85vIjucPR0CJM,Docman,2014,0
21,03lqA3UdcJdxAWEwQ5KlBo,Virginia Highway,https://i.scdn.co/image/ab67616d0000b273ba5618f31cd6081f8b6cb694,144339,False,https://open.spotify.com/track/03lqA3UdcJdxAWEwQ5KlBo,43,2022-02-22 15:26:19.878000+00:00,3uWpYHFY0UmEZQMorzlohY,Tigerblood Jewel,2018- 05- 25,0
